2025-06-01T18:19:07.374013
[INFO] Getting and transforming the data...
[INFO] Training set size = 60000, Test set size = 10000
[INFO] Using device: cuda
[INFO] Data directory: /home/admin/.cache/ml/datasets/neuronal-decay, Results directory: ./out/results, Logs directory: ./out/logs
[INFO] Hyperparameters: batch_size=512, rotations=(0, 80, 160), learning_rate=0.001, n_batches_per_task=500, test_size=2000, n_neurons=2048, decay_lambda=1e-05
[INFO] Domain variables: n_tasks=3, n_classes=10, img_n_channels=1, img_size=28
~~~~~~~~~~~~~~~~~~~ Running experiment 1~~~~~~~~~~~~~~~~~~~~
==================== Training on task 1 ====================
Training loss: 2.300141 | Test accuracy (task 1): 17.97% | Batch: 0
Training loss: 2.309506 | Test accuracy (task 1): 08.20% | Batch: 0
Training loss: 1.066258 | Test accuracy (task 1): 81.49% | Batch: 25
Training loss: 0.446267 | Test accuracy (task 1): 88.43% | Batch: 50
Training loss: 0.327208 | Test accuracy (task 1): 90.97% | Batch: 75
Training loss: 0.321001 | Test accuracy (task 1): 91.26% | Batch: 100
Training loss: 0.330590 | Test accuracy (task 1): 91.85% | Batch: 125
Training loss: 0.310859 | Test accuracy (task 1): 92.48% | Batch: 150
Training loss: 0.260981 | Test accuracy (task 1): 93.60% | Batch: 175
Training loss: 0.244783 | Test accuracy (task 1): 95.02% | Batch: 200
Training loss: 0.244277 | Test accuracy (task 1): 92.72% | Batch: 225
Training loss: 0.188515 | Test accuracy (task 1): 94.43% | Batch: 250
Training loss: 0.144328 | Test accuracy (task 1): 94.97% | Batch: 275
Training loss: 0.186891 | Test accuracy (task 1): 95.46% | Batch: 300
Training loss: 0.151338 | Test accuracy (task 1): 95.46% | Batch: 325
Training loss: 0.146456 | Test accuracy (task 1): 95.07% | Batch: 350
Training loss: 0.138784 | Test accuracy (task 1): 95.70% | Batch: 375
Training loss: 0.135895 | Test accuracy (task 1): 95.61% | Batch: 400
Training loss: 0.125189 | Test accuracy (task 1): 95.26% | Batch: 425
Training loss: 0.113692 | Test accuracy (task 1): 96.29% | Batch: 450
Training loss: 0.088564 | Test accuracy (task 1): 96.97% | Batch: 475
==================== Training on task 2 ====================
Training loss: 2.344474 | Test accuracy (task 1): 96.34% | Batch: 0
Training loss: 0.447829 | Test accuracy (task 1): 88.82% | Batch: 25
Training loss: 0.378962 | Test accuracy (task 1): 92.38% | Batch: 50
Training loss: 0.337388 | Test accuracy (task 1): 93.51% | Batch: 75
Training loss: 0.271781 | Test accuracy (task 1): 94.09% | Batch: 100
Training loss: 0.280126 | Test accuracy (task 1): 94.43% | Batch: 125
Training loss: 0.205593 | Test accuracy (task 1): 93.95% | Batch: 150
Training loss: 0.204958 | Test accuracy (task 1): 95.17% | Batch: 175
Training loss: 0.164989 | Test accuracy (task 1): 94.87% | Batch: 200
Training loss: 0.157315 | Test accuracy (task 1): 95.85% | Batch: 225
Training loss: 0.162230 | Test accuracy (task 1): 95.65% | Batch: 250
Training loss: 0.181007 | Test accuracy (task 1): 95.31% | Batch: 275
Training loss: 0.191388 | Test accuracy (task 1): 95.75% | Batch: 300
Training loss: 0.166625 | Test accuracy (task 1): 95.41% | Batch: 325
Training loss: 0.140686 | Test accuracy (task 1): 96.04% | Batch: 350
Training loss: 0.148337 | Test accuracy (task 1): 96.09% | Batch: 375
Training loss: 0.149781 | Test accuracy (task 1): 96.39% | Batch: 400
Training loss: 0.135981 | Test accuracy (task 1): 96.44% | Batch: 425
Training loss: 0.115778 | Test accuracy (task 1): 96.68% | Batch: 450
Training loss: 0.115221 | Test accuracy (task 1): 96.73% | Batch: 475
==================== Training on task 3 ====================
Training loss: 1.479699 | Test accuracy (task 1): 96.26% | Batch: 0
Training loss: 0.395170 | Test accuracy (task 1): 89.29% | Batch: 25
Training loss: 0.291336 | Test accuracy (task 1): 93.23% | Batch: 50
Training loss: 0.255007 | Test accuracy (task 1): 93.85% | Batch: 75
Training loss: 0.204976 | Test accuracy (task 1): 94.76% | Batch: 100
Training loss: 0.192671 | Test accuracy (task 1): 95.21% | Batch: 125
Training loss: 0.198182 | Test accuracy (task 1): 95.25% | Batch: 150
Training loss: 0.164320 | Test accuracy (task 1): 95.12% | Batch: 175
Training loss: 0.160856 | Test accuracy (task 1): 95.48% | Batch: 200
Training loss: 0.152171 | Test accuracy (task 1): 95.70% | Batch: 225
Training loss: 0.157663 | Test accuracy (task 1): 96.19% | Batch: 250
Training loss: 0.152830 | Test accuracy (task 1): 96.03% | Batch: 275
Training loss: 0.155996 | Test accuracy (task 1): 95.93% | Batch: 300
Training loss: 0.126542 | Test accuracy (task 1): 96.09% | Batch: 325
Training loss: 0.141396 | Test accuracy (task 1): 96.45% | Batch: 350
Training loss: 0.152528 | Test accuracy (task 1): 96.55% | Batch: 375
Training loss: 0.115944 | Test accuracy (task 1): 96.52% | Batch: 400
Training loss: 0.110799 | Test accuracy (task 1): 96.00% | Batch: 425
Training loss: 0.124372 | Test accuracy (task 1): 96.45% | Batch: 450
Training loss: 0.116924 | Test accuracy (task 1): 96.61% | Batch: 475
Experiment 7 done!
~~~~~~~~~~~~~~~~~~~ Running experiment 8~~~~~~~~~~~~~~~~~~~~
==================== Training on task 1 ====================
Training loss: 2.532601 | Test accuracy (task 1): 09.13% | Batch: 0
Training loss: 1.703923 | Test accuracy (task 1): 80.76% | Batch: 25
Training loss: 1.157878 | Test accuracy (task 1): 88.67% | Batch: 50
Training loss: 0.911378 | Test accuracy (task 1): 92.09% | Batch: 75
Training loss: 0.711587 | Test accuracy (task 1): 92.68% | Batch: 100
Training loss: 0.619745 | Test accuracy (task 1): 93.26% | Batch: 125
Training loss: 0.523579 | Test accuracy (task 1): 93.95% | Batch: 150
Training loss: 0.508766 | Test accuracy (task 1): 95.46% | Batch: 175
Training loss: 0.443537 | Test accuracy (task 1): 95.51% | Batch: 200
Training loss: 0.413558 | Test accuracy (task 1): 96.34% | Batch: 225
Training loss: 0.375246 | Test accuracy (task 1): 96.09% | Batch: 250
Training loss: 0.344902 | Test accuracy (task 1): 96.63% | Batch: 275
Training loss: 0.353764 | Test accuracy (task 1): 97.07% | Batch: 300
Training loss: 0.328200 | Test accuracy (task 1): 96.73% | Batch: 325
Training loss: 0.300725 | Test accuracy (task 1): 96.78% | Batch: 350
Training loss: 0.282382 | Test accuracy (task 1): 97.31% | Batch: 375
Training loss: 0.269983 | Test accuracy (task 1): 96.63% | Batch: 400
Training loss: 0.285428 | Test accuracy (task 1): 97.46% | Batch: 425
Training loss: 0.233570 | Test accuracy (task 1): 97.36% | Batch: 450
Training loss: 0.238535 | Test accuracy (task 1): 97.66% | Batch: 475
==================== Training on task 2 ====================
Training loss: 1.781692 | Test accuracy (task 1): 97.17% | Batch: 0
Training loss: 0.591926 | Test accuracy (task 1): 94.82% | Batch: 25
Training loss: 0.467168 | Test accuracy (task 1): 95.80% | Batch: 50
Training loss: 0.411541 | Test accuracy (task 1): 97.27% | Batch: 75
Training loss: 0.390175 | Test accuracy (task 1): 96.83% | Batch: 100
Training loss: 0.374014 | Test accuracy (task 1): 97.12% | Batch: 125
Training loss: 0.343936 | Test accuracy (task 1): 96.78% | Batch: 150
Training loss: 0.344886 | Test accuracy (task 1): 97.61% | Batch: 175
Training loss: 0.321831 | Test accuracy (task 1): 96.83% | Batch: 200
Training loss: 0.296766 | Test accuracy (task 1): 96.83% | Batch: 225
Training loss: 0.294454 | Test accuracy (task 1): 97.27% | Batch: 250
Training loss: 0.277299 | Test accuracy (task 1): 97.27% | Batch: 275
Training loss: 0.274842 | Test accuracy (task 1): 97.90% | Batch: 300
Training loss: 0.274877 | Test accuracy (task 1): 97.85% | Batch: 325
Training loss: 0.254219 | Test accuracy (task 1): 97.56% | Batch: 350
Training loss: 0.252443 | Test accuracy (task 1): 97.61% | Batch: 375
Training loss: 0.254182 | Test accuracy (task 1): 97.80% | Batch: 400
Training loss: 0.224633 | Test accuracy (task 1): 97.85% | Batch: 425
Training loss: 0.230343 | Test accuracy (task 1): 98.19% | Batch: 450
Training loss: 0.218682 | Test accuracy (task 1): 98.14% | Batch: 475
==================== Training on task 3 ====================
Training loss: 1.158780 | Test accuracy (task 1): 98.05% | Batch: 0
Training loss: 0.440921 | Test accuracy (task 1): 95.64% | Batch: 25
Training loss: 0.359314 | Test accuracy (task 1): 97.33% | Batch: 50
Training loss: 0.344293 | Test accuracy (task 1): 97.27% | Batch: 75
Training loss: 0.321019 | Test accuracy (task 1): 98.05% | Batch: 100
Training loss: 0.288276 | Test accuracy (task 1): 97.66% | Batch: 125
Training loss: 0.282071 | Test accuracy (task 1): 97.82% | Batch: 150
Training loss: 0.272941 | Test accuracy (task 1): 97.92% | Batch: 175
Training loss: 0.270230 | Test accuracy (task 1): 97.79% | Batch: 200
Training loss: 0.254045 | Test accuracy (task 1): 97.46% | Batch: 225
Training loss: 0.236286 | Test accuracy (task 1): 97.88% | Batch: 250
Training loss: 0.234511 | Test accuracy (task 1): 97.79% | Batch: 275
Training loss: 0.230655 | Test accuracy (task 1): 97.72% | Batch: 300
Training loss: 0.229216 | Test accuracy (task 1): 97.53% | Batch: 325
Training loss: 0.215799 | Test accuracy (task 1): 97.95% | Batch: 350
Training loss: 0.216358 | Test accuracy (task 1): 97.98% | Batch: 375
Training loss: 0.215618 | Test accuracy (task 1): 97.95% | Batch: 400
Training loss: 0.201742 | Test accuracy (task 1): 97.69% | Batch: 425
Training loss: 0.199301 | Test accuracy (task 1): 98.11% | Batch: 450
Training loss: 0.193971 | Test accuracy (task 1): 97.79% | Batch: 475
Experiment 8 done!
~~~~~~~~~~~~~~~~~~~ Running experiment 9~~~~~~~~~~~~~~~~~~~~
==================== Training on task 1 ====================
Training loss: 2.301983 | Test accuracy (task 1): 10.21% | Batch: 0
Training loss: 0.304364 | Test accuracy (task 1): 89.55% | Batch: 25
Training loss: 0.309816 | Test accuracy (task 1): 94.19% | Batch: 50
Training loss: 0.151777 | Test accuracy (task 1): 95.02% | Batch: 75
Training loss: 0.155039 | Test accuracy (task 1): 95.56% | Batch: 100
Training loss: 0.152945 | Test accuracy (task 1): 95.26% | Batch: 125
Training loss: 0.125941 | Test accuracy (task 1): 96.09% | Batch: 150
Training loss: 0.098357 | Test accuracy (task 1): 96.19% | Batch: 175
Training loss: 0.065696 | Test accuracy (task 1): 97.22% | Batch: 200
Training loss: 0.140983 | Test accuracy (task 1): 96.29% | Batch: 225
Training loss: 0.089024 | Test accuracy (task 1): 96.73% | Batch: 250
Training loss: 0.101646 | Test accuracy (task 1): 96.63% | Batch: 275
Training loss: 0.065808 | Test accuracy (task 1): 96.53% | Batch: 300
Training loss: 0.091604 | Test accuracy (task 1): 97.17% | Batch: 325
Training loss: 0.052954 | Test accuracy (task 1): 96.78% | Batch: 350
Training loss: 0.048261 | Test accuracy (task 1): 97.12% | Batch: 375
Training loss: 0.112590 | Test accuracy (task 1): 96.88% | Batch: 400
Training loss: 0.167495 | Test accuracy (task 1): 95.90% | Batch: 425
Training loss: 0.054254 | Test accuracy (task 1): 96.48% | Batch: 450
Training loss: 0.083798 | Test accuracy (task 1): 97.17% | Batch: 475
==================== Training on task 2 ====================
Training loss: 3.594734 | Test accuracy (task 1): 96.48% | Batch: 0
Training loss: 0.242488 | Test accuracy (task 1): 94.19% | Batch: 25
Training loss: 0.157904 | Test accuracy (task 1): 96.09% | Batch: 50
Training loss: 0.154832 | Test accuracy (task 1): 96.09% | Batch: 75
Training loss: 0.116209 | Test accuracy (task 1): 96.53% | Batch: 100
Training loss: 0.130017 | Test accuracy (task 1): 96.48% | Batch: 125
Training loss: 0.102165 | Test accuracy (task 1): 96.34% | Batch: 150
Training loss: 0.092409 | Test accuracy (task 1): 97.27% | Batch: 175
Training loss: 0.112774 | Test accuracy (task 1): 97.46% | Batch: 200
Training loss: 0.087924 | Test accuracy (task 1): 96.97% | Batch: 225
Training loss: 0.091232 | Test accuracy (task 1): 96.58% | Batch: 250
Training loss: 0.063237 | Test accuracy (task 1): 97.75% | Batch: 275
Training loss: 0.060318 | Test accuracy (task 1): 97.27% | Batch: 300
Training loss: 0.067727 | Test accuracy (task 1): 97.51% | Batch: 325
Training loss: 0.086088 | Test accuracy (task 1): 97.02% | Batch: 350
Training loss: 0.062954 | Test accuracy (task 1): 97.27% | Batch: 375
Training loss: 0.043839 | Test accuracy (task 1): 97.46% | Batch: 400
Training loss: 0.056910 | Test accuracy (task 1): 97.12% | Batch: 425
Training loss: 0.076446 | Test accuracy (task 1): 96.73% | Batch: 450
Training loss: 0.057304 | Test accuracy (task 1): 96.44% | Batch: 475
==================== Training on task 3 ====================
Training loss: 2.222594 | Test accuracy (task 1): 96.68% | Batch: 0
Training loss: 0.264740 | Test accuracy (task 1): 96.16% | Batch: 25
Training loss: 0.163141 | Test accuracy (task 1): 95.90% | Batch: 50
Training loss: 0.136154 | Test accuracy (task 1): 96.91% | Batch: 75
Training loss: 0.104573 | Test accuracy (task 1): 96.58% | Batch: 100
Training loss: 0.120080 | Test accuracy (task 1): 97.07% | Batch: 125
Training loss: 0.071673 | Test accuracy (task 1): 96.61% | Batch: 150
Training loss: 0.078100 | Test accuracy (task 1): 97.20% | Batch: 175
Training loss: 0.063257 | Test accuracy (task 1): 97.40% | Batch: 200
Training loss: 0.060230 | Test accuracy (task 1): 97.30% | Batch: 225
Training loss: 0.067649 | Test accuracy (task 1): 97.20% | Batch: 250
Training loss: 0.055213 | Test accuracy (task 1): 97.53% | Batch: 275
Training loss: 0.052749 | Test accuracy (task 1): 97.40% | Batch: 300
Training loss: 0.048788 | Test accuracy (task 1): 97.46% | Batch: 325
Training loss: 0.035632 | Test accuracy (task 1): 97.53% | Batch: 350
Training loss: 0.039875 | Test accuracy (task 1): 96.94% | Batch: 375
Training loss: 0.042942 | Test accuracy (task 1): 97.79% | Batch: 400
Training loss: 0.050874 | Test accuracy (task 1): 97.10% | Batch: 425
Training loss: 0.056926 | Test accuracy (task 1): 97.43% | Batch: 450
Training loss: 0.044009 | Test accuracy (task 1): 97.66% | Batch: 475
Experiment 9 done!
~~~~~~~~~~~~~~~~~~~ Running experiment 10~~~~~~~~~~~~~~~~~~~
==================== Training on task 1 ====================
Training loss: 2.542856 | Test accuracy (task 1): 11.04% | Batch: 0
Training loss: 0.378150 | Test accuracy (task 1): 93.07% | Batch: 25
Training loss: 0.275500 | Test accuracy (task 1): 93.95% | Batch: 50
Training loss: 0.295995 | Test accuracy (task 1): 94.43% | Batch: 75
Training loss: 0.264536 | Test accuracy (task 1): 94.48% | Batch: 100
Training loss: 0.239515 | Test accuracy (task 1): 93.51% | Batch: 125
Training loss: 0.262947 | Test accuracy (task 1): 94.19% | Batch: 150
Training loss: 0.242202 | Test accuracy (task 1): 95.02% | Batch: 175
Training loss: 0.208435 | Test accuracy (task 1): 94.87% | Batch: 200
Training loss: 0.185883 | Test accuracy (task 1): 95.07% | Batch: 225
Training loss: 0.248615 | Test accuracy (task 1): 94.63% | Batch: 250
Training loss: 0.301561 | Test accuracy (task 1): 95.07% | Batch: 275
Training loss: 0.204180 | Test accuracy (task 1): 95.61% | Batch: 300
Training loss: 0.244411 | Test accuracy (task 1): 94.87% | Batch: 325
Training loss: 0.174615 | Test accuracy (task 1): 94.38% | Batch: 350
Training loss: 0.242694 | Test accuracy (task 1): 95.07% | Batch: 375
Training loss: 0.239106 | Test accuracy (task 1): 95.07% | Batch: 400
Training loss: 0.223203 | Test accuracy (task 1): 94.63% | Batch: 425
Training loss: 0.203924 | Test accuracy (task 1): 95.70% | Batch: 450
Training loss: 0.248573 | Test accuracy (task 1): 95.21% | Batch: 475
==================== Training on task 2 ====================
Training loss: 2.564369 | Test accuracy (task 1): 94.43% | Batch: 0
Training loss: 0.544644 | Test accuracy (task 1): 92.68% | Batch: 25
Training loss: 0.446684 | Test accuracy (task 1): 92.82% | Batch: 50
Training loss: 0.440821 | Test accuracy (task 1): 93.99% | Batch: 75
Training loss: 0.385051 | Test accuracy (task 1): 93.95% | Batch: 100
Training loss: 0.382728 | Test accuracy (task 1): 93.80% | Batch: 125
Training loss: 0.336383 | Test accuracy (task 1): 94.09% | Batch: 150
Training loss: 0.346721 | Test accuracy (task 1): 95.26% | Batch: 175
Training loss: 0.347283 | Test accuracy (task 1): 94.14% | Batch: 200
Training loss: 0.331690 | Test accuracy (task 1): 93.41% | Batch: 225
Training loss: 0.333795 | Test accuracy (task 1): 93.85% | Batch: 250
Training loss: 0.282252 | Test accuracy (task 1): 93.02% | Batch: 275
Training loss: 0.316964 | Test accuracy (task 1): 93.16% | Batch: 300
Training loss: 0.338024 | Test accuracy (task 1): 94.92% | Batch: 325
Training loss: 0.335574 | Test accuracy (task 1): 94.43% | Batch: 350
Training loss: 0.333875 | Test accuracy (task 1): 93.51% | Batch: 375
Training loss: 0.321756 | Test accuracy (task 1): 94.04% | Batch: 400
Training loss: 0.277576 | Test accuracy (task 1): 93.99% | Batch: 425
Training loss: 0.355041 | Test accuracy (task 1): 93.16% | Batch: 450
Training loss: 0.310190 | Test accuracy (task 1): 92.92% | Batch: 475
==================== Training on task 3 ====================
Training loss: 1.682494 | Test accuracy (task 1): 93.78% | Batch: 0
Training loss: 0.649945 | Test accuracy (task 1): 90.59% | Batch: 25
Training loss: 0.532204 | Test accuracy (task 1): 91.89% | Batch: 50
Training loss: 0.469465 | Test accuracy (task 1): 92.32% | Batch: 75
Training loss: 0.449710 | Test accuracy (task 1): 93.00% | Batch: 100
Training loss: 0.429912 | Test accuracy (task 1): 92.22% | Batch: 125
Training loss: 0.439849 | Test accuracy (task 1): 92.81% | Batch: 150
Training loss: 0.418834 | Test accuracy (task 1): 93.13% | Batch: 175
Training loss: 0.409592 | Test accuracy (task 1): 92.19% | Batch: 200
Training loss: 0.393900 | Test accuracy (task 1): 93.59% | Batch: 225
Training loss: 0.399422 | Test accuracy (task 1): 93.68% | Batch: 250
Training loss: 0.379989 | Test accuracy (task 1): 92.38% | Batch: 275
Training loss: 0.346901 | Test accuracy (task 1): 93.07% | Batch: 300
Training loss: 0.379844 | Test accuracy (task 1): 93.26% | Batch: 325
Training loss: 0.326909 | Test accuracy (task 1): 92.90% | Batch: 350
Training loss: 0.372767 | Test accuracy (task 1): 93.20% | Batch: 375
Training loss: 0.365358 | Test accuracy (task 1): 93.23% | Batch: 400
Training loss: 0.359033 | Test accuracy (task 1): 93.46% | Batch: 425
Training loss: 0.329481 | Test accuracy (task 1): 92.25% | Batch: 450
Training loss: 0.388645 | Test accuracy (task 1): 93.13% | Batch: 475
Experiment 10 done!
~~~~~~~~~~~~~~~~~~~ Running experiment 11~~~~~~~~~~~~~~~~~~~
==================== Training on task 1 ====================
Training loss: 2.307340 | Test accuracy (task 1): 06.64% | Batch: 0
Training loss: 0.357308 | Test accuracy (task 1): 90.77% | Batch: 25
Training loss: 0.219082 | Test accuracy (task 1): 93.46% | Batch: 50
Training loss: 0.124091 | Test accuracy (task 1): 94.97% | Batch: 75
Training loss: 0.135168 | Test accuracy (task 1): 95.51% | Batch: 100
Training loss: 0.077792 | Test accuracy (task 1): 96.68% | Batch: 125
Training loss: 0.090943 | Test accuracy (task 1): 97.12% | Batch: 150
Training loss: 0.112226 | Test accuracy (task 1): 96.97% | Batch: 175
Training loss: 0.070818 | Test accuracy (task 1): 96.97% | Batch: 200
Training loss: 0.087841 | Test accuracy (task 1): 96.68% | Batch: 225
Training loss: 0.037192 | Test accuracy (task 1): 96.92% | Batch: 250
Training loss: 0.042232 | Test accuracy (task 1): 97.31% | Batch: 275
Training loss: 0.071370 | Test accuracy (task 1): 97.66% | Batch: 300
Training loss: 0.047459 | Test accuracy (task 1): 97.31% | Batch: 325
Training loss: 0.031539 | Test accuracy (task 1): 97.75% | Batch: 350
Training loss: 0.016340 | Test accuracy (task 1): 97.90% | Batch: 375
Training loss: 0.050668 | Test accuracy (task 1): 97.71% | Batch: 400
Training loss: 0.063083 | Test accuracy (task 1): 97.80% | Batch: 425
Training loss: 0.026012 | Test accuracy (task 1): 97.90% | Batch: 450
Training loss: 0.013187 | Test accuracy (task 1): 98.05% | Batch: 475
==================== Training on task 2 ====================
Training loss: 3.854208 | Test accuracy (task 1): 97.71% | Batch: 0
Training loss: 0.183832 | Test accuracy (task 1): 96.19% | Batch: 25
Training loss: 0.133865 | Test accuracy (task 1): 96.63% | Batch: 50
Training loss: 0.112885 | Test accuracy (task 1): 97.66% | Batch: 75
Training loss: 0.081405 | Test accuracy (task 1): 97.02% | Batch: 100
Training loss: 0.052606 | Test accuracy (task 1): 97.56% | Batch: 125
Training loss: 0.059109 | Test accuracy (task 1): 97.56% | Batch: 150
Training loss: 0.043658 | Test accuracy (task 1): 97.75% | Batch: 175
Training loss: 0.046453 | Test accuracy (task 1): 97.61% | Batch: 200
Training loss: 0.078181 | Test accuracy (task 1): 96.97% | Batch: 225
Training loss: 0.044041 | Test accuracy (task 1): 98.05% | Batch: 250
Training loss: 0.046243 | Test accuracy (task 1): 98.29% | Batch: 275
Training loss: 0.031005 | Test accuracy (task 1): 97.95% | Batch: 300
Training loss: 0.033043 | Test accuracy (task 1): 97.85% | Batch: 325
Training loss: 0.038365 | Test accuracy (task 1): 97.51% | Batch: 350
Training loss: 0.019463 | Test accuracy (task 1): 97.61% | Batch: 375
Training loss: 0.035134 | Test accuracy (task 1): 98.10% | Batch: 400
Training loss: 0.012980 | Test accuracy (task 1): 98.05% | Batch: 425
Training loss: 0.035323 | Test accuracy (task 1): 97.02% | Batch: 450
Training loss: 0.025529 | Test accuracy (task 1): 97.02% | Batch: 475
==================== Training on task 3 ====================
Training loss: 2.584874 | Test accuracy (task 1): 97.59% | Batch: 0
Training loss: 0.162708 | Test accuracy (task 1): 96.32% | Batch: 25
Training loss: 0.089508 | Test accuracy (task 1): 97.20% | Batch: 50
Training loss: 0.072831 | Test accuracy (task 1): 97.30% | Batch: 75
Training loss: 0.081814 | Test accuracy (task 1): 97.46% | Batch: 100
Training loss: 0.046825 | Test accuracy (task 1): 97.69% | Batch: 125
Training loss: 0.049836 | Test accuracy (task 1): 97.95% | Batch: 150
Training loss: 0.031409 | Test accuracy (task 1): 97.72% | Batch: 175
Training loss: 0.029597 | Test accuracy (task 1): 98.14% | Batch: 200
Training loss: 0.034419 | Test accuracy (task 1): 97.43% | Batch: 225
Training loss: 0.026727 | Test accuracy (task 1): 98.27% | Batch: 250
Training loss: 0.022699 | Test accuracy (task 1): 98.31% | Batch: 275
Training loss: 0.018704 | Test accuracy (task 1): 97.95% | Batch: 300
Training loss: 0.018166 | Test accuracy (task 1): 98.37% | Batch: 325
Training loss: 0.020536 | Test accuracy (task 1): 97.82% | Batch: 350
Training loss: 0.013945 | Test accuracy (task 1): 98.05% | Batch: 375
Training loss: 0.013135 | Test accuracy (task 1): 97.69% | Batch: 400
Training loss: 0.010876 | Test accuracy (task 1): 98.11% | Batch: 425
Training loss: 0.013410 | Test accuracy (task 1): 98.63% | Batch: 450
Training loss: 0.017056 | Test accuracy (task 1): 97.49% | Batch: 475
Experiment 11 done!
~~~~~~~~~~~~~~~~~~~ Running experiment 12~~~~~~~~~~~~~~~~~~~
==================== Training on task 1 ====================
Training loss: 2.528357 | Test accuracy (task 1): 07.67% | Batch: 0
Training loss: 0.530154 | Test accuracy (task 1): 93.51% | Batch: 25
Training loss: 0.332782 | Test accuracy (task 1): 96.29% | Batch: 50
Training loss: 0.249619 | Test accuracy (task 1): 97.51% | Batch: 75
Training loss: 0.223520 | Test accuracy (task 1): 97.71% | Batch: 100
Training loss: 0.184046 | Test accuracy (task 1): 97.07% | Batch: 125
Training loss: 0.145367 | Test accuracy (task 1): 97.51% | Batch: 150
Training loss: 0.137552 | Test accuracy (task 1): 97.80% | Batch: 175
Training loss: 0.124818 | Test accuracy (task 1): 97.85% | Batch: 200
Training loss: 0.129136 | Test accuracy (task 1): 97.80% | Batch: 225
Training loss: 0.106515 | Test accuracy (task 1): 97.85% | Batch: 250
Training loss: 0.087626 | Test accuracy (task 1): 98.14% | Batch: 275
Training loss: 0.096903 | Test accuracy (task 1): 98.05% | Batch: 300
Training loss: 0.106133 | Test accuracy (task 1): 97.90% | Batch: 325
Training loss: 0.078475 | Test accuracy (task 1): 97.75% | Batch: 350
Training loss: 0.063451 | Test accuracy (task 1): 97.66% | Batch: 375
Training loss: 0.075319 | Test accuracy (task 1): 97.66% | Batch: 400
Training loss: 0.061184 | Test accuracy (task 1): 97.80% | Batch: 425
Training loss: 0.064878 | Test accuracy (task 1): 97.71% | Batch: 450
Training loss: 0.071083 | Test accuracy (task 1): 98.14% | Batch: 475
==================== Training on task 2 ====================
Training loss: 2.285004 | Test accuracy (task 1): 98.19% | Batch: 0
Training loss: 0.248359 | Test accuracy (task 1): 97.07% | Batch: 25
Training loss: 0.192657 | Test accuracy (task 1): 97.51% | Batch: 50
Training loss: 0.157303 | Test accuracy (task 1): 97.80% | Batch: 75
Training loss: 0.142248 | Test accuracy (task 1): 97.41% | Batch: 100
Training loss: 0.132461 | Test accuracy (task 1): 97.41% | Batch: 125
Training loss: 0.107611 | Test accuracy (task 1): 97.61% | Batch: 150
Training loss: 0.113200 | Test accuracy (task 1): 97.31% | Batch: 175
Training loss: 0.098426 | Test accuracy (task 1): 97.41% | Batch: 200
Training loss: 0.100877 | Test accuracy (task 1): 97.95% | Batch: 225
Training loss: 0.087594 | Test accuracy (task 1): 98.00% | Batch: 250
Training loss: 0.099160 | Test accuracy (task 1): 97.66% | Batch: 275
Training loss: 0.096286 | Test accuracy (task 1): 97.51% | Batch: 300
Training loss: 0.073362 | Test accuracy (task 1): 97.61% | Batch: 325
Training loss: 0.071941 | Test accuracy (task 1): 97.41% | Batch: 350
Training loss: 0.070800 | Test accuracy (task 1): 97.85% | Batch: 375
Training loss: 0.074447 | Test accuracy (task 1): 97.36% | Batch: 400
Training loss: 0.061196 | Test accuracy (task 1): 97.17% | Batch: 425
Training loss: 0.070943 | Test accuracy (task 1): 97.27% | Batch: 450
Training loss: 0.067561 | Test accuracy (task 1): 98.00% | Batch: 475
==================== Training on task 3 ====================
Training loss: 1.215034 | Test accuracy (task 1): 97.30% | Batch: 0
Training loss: 0.210919 | Test accuracy (task 1): 96.26% | Batch: 25
Training loss: 0.173015 | Test accuracy (task 1): 97.10% | Batch: 50
Training loss: 0.173892 | Test accuracy (task 1): 96.84% | Batch: 75
Training loss: 0.146233 | Test accuracy (task 1): 96.84% | Batch: 100
Training loss: 0.141967 | Test accuracy (task 1): 96.55% | Batch: 125
Training loss: 0.112851 | Test accuracy (task 1): 96.81% | Batch: 150
Training loss: 0.112866 | Test accuracy (task 1): 97.33% | Batch: 175
Training loss: 0.102777 | Test accuracy (task 1): 97.36% | Batch: 200
Training loss: 0.109167 | Test accuracy (task 1): 97.36% | Batch: 225
Training loss: 0.090665 | Test accuracy (task 1): 97.75% | Batch: 250
Training loss: 0.091010 | Test accuracy (task 1): 97.36% | Batch: 275
Training loss: 0.081624 | Test accuracy (task 1): 97.49% | Batch: 300
Training loss: 0.083184 | Test accuracy (task 1): 96.74% | Batch: 325
Training loss: 0.079571 | Test accuracy (task 1): 97.59% | Batch: 350
Training loss: 0.085962 | Test accuracy (task 1): 97.07% | Batch: 375
Training loss: 0.067844 | Test accuracy (task 1): 97.14% | Batch: 400
Training loss: 0.077170 | Test accuracy (task 1): 97.30% | Batch: 425
Training loss: 0.063891 | Test accuracy (task 1): 96.91% | Batch: 450
Training loss: 0.064599 | Test accuracy (task 1): 97.56% | Batch: 475
Experiment 12 done!
~~~~~~~~~~~~~~~~~~~ Running experiment 13~~~~~~~~~~~~~~~~~~~
==================== Training on task 1 ====================
Training loss: 2.299643 | Test accuracy (task 1): 17.97% | Batch: 0
Training loss: 0.292542 | Test accuracy (task 1): 90.62% | Batch: 25
